FEATURE_A,FEATURE_B,GROUP_A,GROUP_B,SOURCE_A,SOURCE_B,PAIR_STRUCTURE,STRUCTURAL_PAIR,PEARSON,PEARSON_STRENGTH,SPEARMAN,SPEARMAN_STRENGTH,ABS_PEARSON,ABS_SPEARMAN,PEARSON_MINUS_SPEARMAN,ABS_MAGNITUDE_DIFFERENCE,MAX_ABS_CORRELATION,POTENTIAL_REDUNDANCY
SEND_AGE,TRANS_VALUE,Continuous numerical,Continuous numerical,SEND_AGE,TRANS_VALUE,Ordinary cross-feature relationship,False,-0.010660273295410099,Very weak or negligible,-0.024141079653869982,Very weak or negligible,0.010660273295410099,0.024141079653869982,0.013480806358459883,0.013480806358459883,0.024141079653869982,False
SEND_AGE,TRANS_DAY,Continuous numerical,Discrete numerical,SEND_AGE,TRANS_DAY,Ordinary cross-feature relationship,False,-0.0005641636186852322,Very weak or negligible,-0.0006983479906082397,Very weak or negligible,0.0005641636186852322,0.0006983479906082397,0.00013418437192300756,0.00013418437192300756,0.0006983479906082397,False
SEND_AGE,SEND_POP_REGISTER,Continuous numerical,Discrete numerical,SEND_AGE,SEND_POP_REGISTER,Ordinary cross-feature relationship,False,-0.09214370477535756,Very weak or negligible,-0.15533534459532242,Weak,0.09214370477535756,0.15533534459532242,0.06319163981996485,0.06319163981996485,0.15533534459532242,False
SEND_AGE,SEND_LAT_REGISTER,Continuous numerical,Continuous geographic,SEND_AGE,SEND_LAT_REGISTER,Ordinary cross-feature relationship,False,0.04726812951587376,Very weak or negligible,0.03616154715542121,Very weak or negligible,0.04726812951587376,0.03616154715542121,0.011106582360452547,0.011106582360452547,0.04726812951587376,False
SEND_AGE,SEND_LONG_REGISTER,Continuous numerical,Continuous geographic,SEND_AGE,SEND_LONG_REGISTER,Ordinary cross-feature relationship,False,-0.029068798977519447,Very weak or negligible,-0.019125843631285132,Very weak or negligible,0.029068798977519447,0.019125843631285132,-0.009942955346234315,0.009942955346234315,0.029068798977519447,False
SEND_AGE,RECEIVE_LAT,Continuous numerical,Continuous geographic,SEND_AGE,RECEIVE_LAT,Ordinary cross-feature relationship,False,0.04689301226665887,Very weak or negligible,0.035551730140464435,Very weak or negligible,0.04689301226665887,0.035551730140464435,0.011341282126194438,0.011341282126194438,0.04689301226665887,False
SEND_AGE,RECEIVE_LONG,Continuous numerical,Continuous geographic,SEND_AGE,RECEIVE_LONG,Ordinary cross-feature relationship,False,-0.029024688329661222,Very weak or negligible,-0.01884761931207961,Very weak or negligible,0.029024688329661222,0.01884761931207961,-0.01017706901758161,0.01017706901758161,0.029024688329661222,False
SEND_AGE,SEND_GENDER_BE,Continuous numerical,Binary encoding,SEND_AGE,SEND_GENDER_BE,Ordinary cross-feature relationship,False,0.005976038342685946,Very weak or negligible,0.012200579518444787,Very weak or negligible,0.005976038342685946,0.012200579518444787,-0.006224541175758841,0.006224541175758841,0.012200579518444787,False
SEND_AGE,TRANS_YEAR_BE,Continuous numerical,Binary encoding,SEND_AGE,TRANS_YEAR_BE,Ordinary cross-feature relationship,False,-0.004617056696673762,Very weak or negligible,-0.004971420132926921,Very weak or negligible,0.004617056696673762,0.004971420132926921,0.00035436343625315937,0.00035436343625315937,0.004971420132926921,False
SEND_AGE,TRANS_NUM_CARD_FEWF,Continuous numerical,Frequency encoding with fallback,SEND_AGE,TRANS_NUM_CARD_FEWF,Ordinary cross-feature relationship,False,-0.3535041113346657,Moderate,-0.3612679373721903,Moderate,0.3535041113346657,0.3612679373721903,0.007763826037524624,0.007763826037524624,0.3612679373721903,False
SEND_AGE,SEND_NAME_FEWF,Continuous numerical,Frequency encoding with fallback,SEND_AGE,SEND_NAME_FEWF,Ordinary cross-feature relationship,False,-0.34436692918515677,Moderate,-0.3578267449180566,Moderate,0.34436692918515677,0.3578267449180566,0.013459815732899838,0.013459815732899838,0.3578267449180566,False
SEND_AGE,SEND_JOB_FEWF,Continuous numerical,Frequency encoding with fallback,SEND_AGE,SEND_JOB_FEWF,Ordinary cross-feature relationship,False,-0.09744378675937687,Very weak or negligible,-0.10506877783305804,Weak,0.09744378675937687,0.10506877783305804,0.00762499107368117,0.00762499107368117,0.10506877783305804,False
