DIMENSION,EIGENVALUE,CONDITION_INDEX,DIAGNOSTIC_LEVEL
1,2.5104133766311025,1.0,Low
2,2.0405225505027964,1.1091797210630088,Low
3,2.005551477492494,1.1188083869588248,Low
4,1.9814217472638314,1.1256001894552383,Low
5,1.7302809710006144,1.2045208013028008,Low
6,1.2558633588291994,1.4138437793992766,Low
7,1.2327771813388888,1.427020876626006,Low
8,1.1995869066439633,1.4466276502420679,Low
9,1.1688310207993424,1.4655368924510936,Low
10,1.1462909644951866,1.4798755180913834,Low
11,1.13113799472908,1.489754908162676,Low
12,1.1159606494015188,1.49985121660994,Low
13,1.1115616724631048,1.5028160975939764,Low
14,1.1018637416972634,1.5094150435236138,Low
15,1.0947779342493293,1.5142919110685773,Low
16,1.087511124838108,1.5193427786729046,Low
17,1.0849537208890512,1.5211323878136305,Low
18,1.082055588286039,1.5231680944413688,Low
19,1.078912995372134,1.5253847776896428,Low
20,1.0736809198170798,1.5290968810991743,Low
21,1.069898814019792,1.5317971851792893,Low
22,1.05836965025249,1.5401177685571665,Low
23,1.050948077811357,1.5455461943463045,Low
24,1.0010909471050664,1.583564849627879,Low
25,0.9973483109089352,1.586533299740805,Low
26,0.9788863007725761,1.601424597276441,Low
27,0.9366025090687825,1.6371744627611697,Low
28,0.9266852964308672,1.6459115167631804,Low
29,0.9124847988975682,1.6586692793486053,Low
30,0.9072427273376348,1.663454293967554,Low
31,0.850026870350141,1.7185267354913116,Low
32,0.6666619092436925,1.9405274893980582,Low
33,0.2536963451754251,3.145687052689646,Low
34,0.11813552079157583,4.609803041227593,Low
35,0.03066691534331342,9.047687105003018,Low
36,0.006417448940714065,19.778411537799713,Moderate
37,0.0008816608099426904,53.360740999531814,High
38,1.8022175556824385e-16,inf,Exact or near-exact linear dependence
39,-1.7032201462166034e-16,inf,Exact or near-exact linear dependence
