DIMENSION,EIGENVALUE,CONDITION_INDEX,DIAGNOSTIC_LEVEL
1,2.5100735850905704,1.0,Low
2,2.040509867529164,1.1091081000836305,Low
3,2.0018726686424797,1.119760134051495,Low
4,1.9747979235081026,1.1274100340428745,Low
5,1.7278168836408094,1.205297816967096,Low
6,1.255828303269693,1.413767824038704,Low
7,1.2323521251517617,1.427170359970003,Low
8,1.197353997374828,1.4478779109070385,Low
9,1.1688007279606356,1.4654566972133394,Low
10,1.1386558964145073,1.484728267200964,Low
11,1.117248485477474,1.4988850895599197,Low
12,1.1109631407816647,1.5031191283288512,Low
13,1.1019301903285292,1.5092673802679506,Low
14,1.0947494658057284,1.514209113520088,Low
15,1.0894057193848783,1.51791831524072,Low
16,1.0850374556695093,1.520970747784046,Low
17,1.0808897575486036,1.5238861640530672,Low
18,1.0750521649929043,1.5280179556467655,Low
19,1.069936995793876,1.5316661848806006,Low
20,1.0584977985394968,1.539920310784102,Low
21,1.0513553575950412,1.545142223984879,Low
22,1.0010911657871093,1.5834575030656386,Low
23,0.9973792165773661,1.5864013458419155,Low
24,0.9797925657806069,1.6005754700922854,Low
25,0.937503691451023,1.6362766519452616,Low
26,0.9267569137231927,1.645736530866045,Low
27,0.912671153465857,1.6583876871520085,Low
28,0.9072700328043011,1.6633166831396808,Low
29,0.8500723380439593,1.7183644710348145,Low
30,0.6667149937644666,1.9403189073277376,Low
31,0.2643449738115967,3.0814682553355652,Low
32,0.13754378193344877,4.271916407740998,Low
33,0.12766755689606213,4.434074164840648,Low
34,0.0700971273681202,5.984021102543777,Low
35,0.03066686857530152,9.047081667825623,Low
36,0.006417448709167957,19.77707331735825,Moderate
37,0.0008816608081642102,53.35712966764182,High
