FEATURE,SOURCE_FEATURE,FEATURE_GROUP,MULTIPLE_R_SQUARED,TOLERANCE,VIF,VIF_LEVEL
SEND_LONG_REGISTER,SEND_LONG_REGISTER,Continuous geographic,0.9982374801704261,0.001762519829573872,567.3695031515033,High
RECEIVE_LONG,RECEIVE_LONG,Continuous geographic,0.9982374465124808,0.0017625534875191917,567.3586685913901,High
SEND_LAT_REGISTER,SEND_LAT_REGISTER,Continuous geographic,0.9872104883368819,0.012789511663118147,78.18906822562722,High
RECEIVE_LAT,RECEIVE_LAT,Continuous geographic,0.9872048892856188,0.01279511071438122,78.15485323437161,High
TRANS_NUM_CARD_FEWF,TRANS_NUM_CARD_FEWF,Frequency encoding with fallback,0.9408008851226985,0.05919911487730145,16.892144453048694,High
SEND_NAME_FEWF,SEND_NAME_FEWF,Frequency encoding with fallback,0.9389651994369197,0.061034800563080305,16.384095479536896,High
RECEIVE_LOC_FEWF,RECEIVE_LOC_FEWF,Frequency encoding with fallback,0.783820572080856,0.21617942791914402,4.62578705858183,Low
RECEIVE_CATEGORY_OHEWI_gas_transport,RECEIVE_CATEGORY_OHEWI,One-Hot encoding with ignore,0.7143088468545995,0.2856911531454005,3.500283396913789,Low
RECEIVE_CATEGORY_OHEWI_grocery_pos,RECEIVE_CATEGORY_OHEWI,One-Hot encoding with ignore,0.6775693384381479,0.32243066156185207,3.101442012853264,Low
RECEIVE_CATEGORY_OHEWI_home,RECEIVE_CATEGORY_OHEWI,One-Hot encoding with ignore,0.6136756904826001,0.38632430951739993,2.5884987699821678,Low
RECEIVE_CATEGORY_OHEWI_shopping_pos,RECEIVE_CATEGORY_OHEWI,One-Hot encoding with ignore,0.5803567648677347,0.4196432351322653,2.382976576960224,Low
TRANS_HOUR_SIN,TRANS_HOUR_SIN,Cyclical sine/cosine,0.5728514876975616,0.42714851230243844,2.341106128661779,Low
RECEIVE_CATEGORY_OHEWI_kids_pets,RECEIVE_CATEGORY_OHEWI,One-Hot encoding with ignore,0.552060328218035,0.44793967178196503,2.232443480663063,Low
